المشتريات اجمالية 

"التحديد";"م";"العملية";"المدخل";"تاريخ الادخال";"كود الفاتورة";"التاريخ";"الكمية";"الاسم";"العنوان";"بطاقة ضريبية";"ملاحظات";"الجملة";"نسبة الخصم";"الخصم";"المطلوب";"الاجمالى محلى";"رقم الايصال";"المسدد";"حساب البنك";"البنك";"مسدد  بالفيزا";"الباقى";"المستلم";"الخزينة";"طبع"
"colchkbox";"moslsl";"title";"fuser";"dateentry";"idno_s";"fshortdate";"fdatehij";"fperson";"fadres";"ftaxcard";"fnote";"gtot";"fdiscountp";"fdiscount";"gross";"fgrosscurrancy";"idno_recpt";"famount";"fno_bank";"txtbank";"famountvisa";"net";"fmostalem";"fcashstor";"fprinted"
"True";"";"شراء";"مدير الشركه مصطفي";"28/12/2025 04:48:58 م";"1";"28/12/2025 04:48:58 م";"493.0000";"شركة الحمد -احمد حمزه";"   ";"";"";"7876.0000";"0.0000";"34.0000";"7842.000000";"7842.000000";"";"10000.0000";;;"0.0000";"-2158.000000";"";"خزينة 2";"0"
"True";"";"شراء";"مدير الشركه مصطفي";"04/01/2026 06:14:53 م";"2";"04/01/2026 06:14:53 م";"201.0000";"شركة الحمد -احمد حمزه";"   ";"";"";"2170.0000";"0.0000";"0.0000";"2170.000000";"2170.000000";"";"0.0000";;;"0.0000";"2170.000000";"";;"0"
"True";"";"شراء";"مدير الشركه مصطفي";"11/01/2026 04:07:30 م";"3";"11/01/2026 04:07:30 م";"502.0000";"شركة الحمد -احمد حمزه";"   ";"";"";"5252.0000";"0.0000";"0.0000";"5252.000000";"5252.000000";"";"0.0000";;;"0.0000";"5252.000000";"";;"0"
"True";"";"شراء";"مدير الشركه مصطفي";"18/01/2026 05:02:24 م";"4";"18/01/2026 05:02:24 م";"500.0000";"شركة الحمد -احمد حمزه";"   ";"";"";"3850.0000";"0.0000";"0.0000";"3850.000000";"3850.000000";"";"0.0000";;;"0.0000";"3850.000000";"";;"0"
"True";"";"شراء";"ابراهيم الضويني ";"22/01/2026 06:00:35 م";"5";"22/01/2026 06:00:35 م";"6.0000";"شركة Eveready";"   ";"";"";"480.0000";"0.0000";"0.0000";"480.000000";"480.000000";"";"480.0000";;;"0.0000";"0.000000";"";"خزينة 2";"0"
"True";"";"شراء";"ابراهيم الضويني ";"25/01/2026 06:01:48 م";"6";"25/01/2026 06:01:48 م";"400.0000";"شركة الحمد -احمد حمزه";"   ";"";"";"3080.0000";"0.0000";"0.0000";"3080.000000";"3080.000000";"";"0.0000";;;"0.0000";"3080.000000";"";;"0"
"True";"";"شراء";"ابراهيم الضويني ";"27/01/2026 12:56:32 م";"7";"27/01/2026 12:56:32 م";"3000.0000";"شركة R.S  محمد البغدادي";"   ";"";"";"74800.0000";"0.0000";"0.0000";"74800.000000";"74800.000000";"";"0.0000";;;"0.0000";"74800.000000";"";;"0"
"True";"";"شراء";"ابراهيم الضويني ";"27/01/2026 01:00:53 م";"8";"27/01/2026 01:00:53 م";"25.0000";"شركه دهب باسم ابراهيم";"   ";"";"";"5125.0000";"0.0000";"0.0000";"5125.000000";"5125.000000";"";"0.0000";;;"0.0000";"5125.000000";"";;"0"
"True";"";"شراء";"ابراهيم الضويني ";"27/01/2026 11:09:40 م";"9";"27/01/2026 11:09:40 م";"405.0000";"شركة الأقصى";"   ";"";"";"20325.0000";"0.0000";"75.0000";"20250.000000";"20250.000000";"";"0.0000";;;"0.0000";"20250.000000";"";"خزينة 1 ";"0"
"True";"";"شراء";"ابراهيم الضويني ";"28/01/2026 06:09:47 م";"10";"28/01/2026 06:09:47 م";"2.0000";"محل فولت (فارس عريف)";"   ";"";"";"540.0000";"0.0000";"0.0000";"540.000000";"540.000000";"";"0.0000";;;"0.0000";"540.000000";"";;"0"
"True";"";"شراء";"ابراهيم الضويني ";"29/01/2026 07:22:47 م";"11";"29/01/2026 07:22:47 م";"150.0000";"شركة ويل ماكس";"   ";"";"";"6300.0000";"0.0000";"0.0000";"6300.000000";"6300.000000";"";"4000.0000";;;"0.0000";"2300.000000";"";"خزينة 1 ";"0"
"True";"";"شراء";"مدير الشركه مصطفي";"31/01/2026 02:25:13 م";"12";"31/01/2026 02:25:13 م";"440.0000";"شركة R.S  محمد البغدادي";"   ";"";"";"29300.0000";"0.0000";"0.0000";"29300.000000";"29300.000000";"";"0.0000";;;"0.0000";"29300.000000";"";;"0"
"True";"";"شراء";"مدير الشركه مصطفي";"31/01/2026 02:28:09 م";"13";"31/01/2026 02:28:09 م";"335.0000";"شركة الأقصى";"   ";"";"";"14566.0000";"0.0000";"66.0000";"14500.000000";"14500.000000";"";"0.0000";;;"0.0000";"14500.000000";"";"خزينة 1 ";"0"
