المشتريات تفصيلية 

"التحديد";"م";"العملية";"المدخل";"كود الفاتورة";"التاريخ";"الوقت";"كود الصنف";"المخزن";"الصنف";"الوحدة";"الكمية";"السعر";"الاجمالى"
"colchkbox";"moslsl";"title";"fuser";"idno_s";"fshortdate";"ftime";"fcodeunit";"fstorfrom";"fname";"funit";"fquntity";"fpr_s";"gtot"
"True";"";"شراء ";"مدير الشركه مصطفي";"1";"28/12/2025 12:00:00 ص";"28/12/2025 04:48:58 م";;"محل 2";"لمبه 100 وات ايفر برايت";"قطعه";"100.0000";"13.5000";"1350.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"1";"28/12/2025 12:00:00 ص";"28/12/2025 04:48:58 م";;"محل 2";"لمبه 100 وات نيازا";"ك";"100.0000";"16.5000";"1650.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"1";"28/12/2025 12:00:00 ص";"28/12/2025 04:48:58 م";;"محل 2";"لمبه 200 وات ايفر برايت";"ك";"50.0000";"25.5000";"1275.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"1";"28/12/2025 12:00:00 ص";"28/12/2025 04:48:58 م";;"محل 2";"فيشه دكر كاوتش بونو";"ك";"200.0000";"7.0000";"1400.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"1";"28/12/2025 12:00:00 ص";"28/12/2025 04:48:58 م";;"محل 2";"مشترك بسلك 2م احمال خفيفه 3 A";"قطعه";"5.0000";"47.0000";"235.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"1";"28/12/2025 12:00:00 ص";"28/12/2025 04:48:58 م";;"محل 2";"لمبه ليد 65 وات ابيضCLICKLEN";"ك";"11.0000";"46.0000";"506.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"1";"28/12/2025 12:00:00 ص";"28/12/2025 04:48:58 م";;"محل 2";"مشترك بسلك 4م( MK+3) الملكه 10 A";"ك";"2.0000";"155.0000";"310.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"1";"28/12/2025 12:00:00 ص";"28/12/2025 04:48:58 م";;"محل 2";"لمبه 120 سم نيون جرين لايت";"ك";"25.0000";"46.0000";"1150.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"2";"04/01/2026 12:00:00 ص";"04/01/2026 06:14:53 م";;"محل 1";"فيشه دكر كاوتش بونو";"ك";"200.0000";"7.0000";"1400.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"2";"04/01/2026 12:00:00 ص";"04/01/2026 06:14:53 م";;"محل 1";"سلك ترمو 1 مم المهندس";"لفه ";"1.0000";"770.0000";"770.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"3";"11/01/2026 12:00:00 ص";"11/01/2026 04:07:30 م";;"محل 1";"فيشه دكر كاوتش بونو";"ك";"400.0000";"7.0000";"2800.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"3";"11/01/2026 12:00:00 ص";"11/01/2026 04:07:30 م";;"محل 1";"فيشه نتايه كاوتش بونو";"ك";"100.0000";"7.0000";"700.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"3";"11/01/2026 12:00:00 ص";"11/01/2026 04:07:30 م";;"محل 1";"قاطع اتوماتيك 16 امبير اورجينال";"علبه ";"2.0000";"876.0000";"1752.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"4";"18/01/2026 12:00:00 ص";"18/01/2026 05:02:24 م";;"محل 1";"فيشه دكر كاوتش بونو";"ك";"400.0000";"7.7000";"3080.0000000000000"
"True";"";"شراء ";"مدير الشركه مصطفي";"4";"18/01/2026 12:00:00 ص";"18/01/2026 05:02:24 م";;"محل 1";"فيشه نتايه كاوتش بونو";"ك";"100.0000";"7.7000";"770.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"5";"22/01/2026 12:00:00 ص";"22/01/2026 06:00:35 م";;"محل 2";"حجاره سخان اسود eveready";"ك";"6.0000";"80.0000";"480.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"6";"25/01/2026 12:00:00 ص";"25/01/2026 06:01:48 م";;"محل 1";"فيشه دكر كاوتش بونو";"ك";"400.0000";"7.7000";"3080.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"7";"27/01/2026 12:00:00 ص";"27/01/2026 12:56:32 م";;"المخزن ";"سينسور تاتش 220 فولت (1حركه) (S)";"ك";"400.0000";"90.0000";"36000.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"7";"27/01/2026 12:00:00 ص";"27/01/2026 12:56:32 م";;"المخزن ";"مفتاح كمثرى R.S";"ك";"1200.0000";"9.0000";"10800.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"7";"27/01/2026 12:00:00 ص";"27/01/2026 12:56:32 م";;"المخزن ";"مفتاح كمثرى ابيض على كارت R.S";"ك";"1200.0000";"7.5000";"9000.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"7";"27/01/2026 12:00:00 ص";"27/01/2026 12:56:32 م";;"المخزن ";"سينسور حركه 220 فولت (R.S)";"ك";"200.0000";"95.0000";"19000.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"8";"27/01/2026 12:00:00 ص";"27/01/2026 01:00:53 م";;"المخزن ";"سلك ترمو 0.5 مم ابيض الشرق";"لفه";"25.0000";"205.0000";"5125.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"9";"27/01/2026 12:00:00 ص";"27/01/2026 11:09:40 م";;"محل 1";"اسبوت مدور اسود سيلفيا";"ك";"200.0000";"12.5000";"2500.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"9";"27/01/2026 12:00:00 ص";"27/01/2026 11:09:40 م";;"محل 1";"اسبوت 6+6 زجاجي 3 لون جرين لايت";"ك";"50.0000";"29.0000";"1450.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"9";"27/01/2026 12:00:00 ص";"27/01/2026 11:09:40 م";;"محل 1";"بكره ليد 240 ورم ستريب";"ك";"50.0000";"95.0000";"4750.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"9";"27/01/2026 12:00:00 ص";"27/01/2026 11:09:40 م";;"محل 1";"باور سبلاي 12 فولت 100 وات 8.3 امبير المدهش ضمان 2 عام";"ك";"30.0000";"130.0000";"3900.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"9";"27/01/2026 12:00:00 ص";"27/01/2026 11:09:40 م";;"محل 1";"باور سبلاي 12 فولت 150 وات 12.5 امبير المدهش ضمان 2عام";"ك";"15.0000";"155.0000";"2325.0000000000000"
"True";"";"شراء ";"ابراهيم الضويني ";"9";"27/01/2026 12:00:00 ص";"27/01/2026 11:09:40 م";;"محل 1";"باور سبلاي 12 فولت 200 وات 16.6 امبير المدهش ضمان 2 عام";"ك";"15.0000";"180.0000";"2700.0000000000000"
