التحويلات بين المخازن اجمالية 

"التحديد";"م";"المدخل";"تاريخ الادخال";"كود التحويل";"التاريخ";"الكمية";"ملاحظات";"المطلوب";"الاجمالى محلى";"رقم الايصال";"المستلم";"طبع"
"colchkbox";"moslsl";"fuser";"dateentry";"idno_s";"fshortdate";"fdatehij";"fnote";"gross";"fgrosscurrancy";"idno_recpt";"fmostalem";"fprinted"
"True";"";"ابراهيم الضويني ";"21/04/2026 05:51:31 م";"261";"21/04/2026 05:51:31 م";"20.0000";"";"120.000000";"120.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"04/02/2026 12:12:49 ص";"23";"04/02/2026 12:12:49 ص";"150.0000";"";"14250.000000";"14250.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"17/04/2026 01:21:56 ص";"238";"17/04/2026 01:21:56 ص";"1.0000";"";"240.000000";"240.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"16/05/2026 04:07:07 م";"355";"16/05/2026 04:07:07 م";"1.0000";"";"3.380000";"3.380000";"";"";"0"
"True";"";"ابراهيم الضويني ";"11/02/2026 04:46:20 م";"46";"11/02/2026 04:46:20 م";"120.0000";"";"7960.000000";"7960.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"12/04/2026 11:23:31 ص";"215";"12/04/2026 11:23:31 ص";"20.0000";"";"300.000000";"300.000000";"";"";"0"
"True";"";"محمد جاد";"18/05/2026 02:07:59 م";"378";"18/05/2026 02:07:59 م";"15.0000";"";"2250.000000";"2250.000000";"";"";"0"
"True";"";"مدير الشركه مصطفي";"19/02/2026 05:00:46 م";"69";"19/02/2026 05:00:45 م";"1000.0000";"";"1900.000000";"1900.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"05/04/2026 07:19:52 م";"192";"05/04/2026 07:19:52 م";"14.0000";"";"552.000400";"552.000400";"";"";"0"
"True";"";"مدير الشركه مصطفي";"01/03/2026 04:11:59 م";"92";"01/03/2026 04:11:59 م";"129.0000";"";"1290.000000";"1290.000000";"";"";"0"
"True";"";"مدير الشركه مصطفي";"05/03/2026 12:58:13 م";"115";"05/03/2026 12:58:13 م";"734.0000";"";"28598.900000";"28598.900000";"";"";"0"
"True";"";"ابراهيم الضويني ";"12/03/2026 10:48:26 م";"138";"12/03/2026 10:48:26 م";"1767.0000";"";"24145.615200";"24145.615200";"";"";"0"
"True";"";"ابراهيم الضويني ";"09/04/2026 05:40:24 م";"209";"09/04/2026 05:40:24 م";"553.0000";"";"14429.400000";"14429.400000";"";"";"0"
"True";"";"محمد جاد";"18/05/2026 06:20:38 م";"384";"18/05/2026 06:20:38 م";"75.0000";"";"660.000000";"660.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"18/03/2026 02:08:15 م";"161";"18/03/2026 02:08:15 م";"3.0000";"";"385.000000";"385.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"26/04/2026 10:52:47 م";"284";"26/04/2026 10:52:46 م";"27.0000";"";"634.500000";"634.500000";"";"";"0"
"True";"";"ابراهيم الضويني ";"08/02/2026 10:25:37 ص";"29";"08/02/2026 10:25:37 ص";"34.0000";"";"3060.000000";"3060.000000";"";"";"0"
"True";"";"محمد جاد";"17/05/2026 01:27:56 م";"361";"17/05/2026 01:27:56 م";"28.0000";"";"3660.000000";"3660.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"25/04/2026 08:10:39 م";"278";"25/04/2026 08:10:39 م";"1494.0000";"";"46016.750000";"46016.750000";"";"";"0"
"True";"";"ابراهيم الضويني ";"03/05/2026 12:47:47 م";"315";"03/05/2026 12:47:47 م";"51.0000";"";"1450.500000";"1450.500000";"";"";"0"
"True";"";"ابراهيم الضويني ";"25/03/2026 05:55:05 م";"169";"25/03/2026 05:55:05 م";"47.0000";"";"4200.000000";"4200.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"01/04/2026 05:21:22 م";"175";"01/04/2026 05:21:22 م";"19.0000";"";"3009.300000";"3009.300000";"";"";"0"
"True";"";"ابراهيم الضويني ";"05/05/2026 07:08:43 م";"324";"05/05/2026 07:08:43 م";"196.0000";"";"7805.000000";"7805.000000";"";"";"0"
"True";"";"يوسف محمود";"13/04/2026 08:54:09 م";"221";"13/04/2026 08:54:09 م";"10.0000";"";"170.000000";"170.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"24/02/2026 05:03:54 م";"75";"24/02/2026 05:03:53 م";"407.0000";"";"18896.000000";"18896.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"12/05/2026 11:49:39 م";"344";"12/05/2026 11:49:39 م";"1170.0000";"";"54770.148500";"54770.148500";"";"";"0"
