التحويلات بين المخازن تفصيلية 

"التحديد";"م";"العملية";"المدخل";"كود التحويل";"التاريخ";"الوقت";"كود الصنف";"من مخزن";"الى المخزن";"الصنف";"الوحدة";"الكمية";"السعر";"الاجمالى"
"colchkbox";"moslsl";"title";"fuser";"idno_s";"fshortdate";"ftime";"fcodeunit";"fstorfrom";"fstorto";"fname";"funit";"fquntity";"fpr_s";"gtot"
"True";"";" ";"مدير الشركه مصطفي";"1";"10/01/2026 12:00:00 ص";"10/01/2026 04:32:11 م";;"محل 1";"محل 2";"سلك ترمو 1 مم المهندس";"لفه ";"1.0000";"770.0000";"770.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"2";"27/01/2026 12:00:00 ص";"27/01/2026 01:01:39 م";;"المخزن ";"محل 1";"سينسور تاتش 220 فولت (1حركه) (S)";"ك";"8.0000";"87.0000";"696.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"2";"27/01/2026 12:00:00 ص";"27/01/2026 01:01:39 م";;"المخزن ";"محل 1";"سينسور تاتش 220 فولت (1حركه) (S)";"ك";"1.0000";"87.0000";"87.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"2";"27/01/2026 12:00:00 ص";"27/01/2026 01:01:39 م";;"المخزن ";"محل 1";"سينسور تاتش 220 فولت (1حركه) (S)";"ك";"1.0000";"87.0000";"87.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"2";"27/01/2026 12:00:00 ص";"27/01/2026 01:01:39 م";;"المخزن ";"محل 2";"سينسور تاتش 220 فولت (1حركه) (S)";"ك";"50.0000";"89.9400";"4497.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"2";"27/01/2026 12:00:00 ص";"27/01/2026 01:01:39 م";;"المخزن ";"محل 2";"مفتاح كمثرى ابيض على كارت R.S";"ك";"100.0000";"7.5000";"750.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"3";"27/01/2026 12:00:00 ص";"27/01/2026 02:32:39 م";;"المخزن ";"محل 1";"سينسور تاتش 220 فولت (1حركه) (S)";"ك";"1.0000";"90.0000";"90.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"4";"27/01/2026 12:00:00 ص";"27/01/2026 02:33:20 م";;"المخزن ";"محل 1";"سينسور تاتش 220 فولت (1حركه) (S)";"ك";"1.0000";"90.0000";"90.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"5";"27/01/2026 12:00:00 ص";"27/01/2026 02:40:15 م";;"محل 2";"محل 1";"بكرة ليد 220 فولت 120 لمبه ورم هوم لايت";"متر ";"44.5000";"27.0000";"1201.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"6";"27/01/2026 12:00:00 ص";"27/01/2026 06:21:13 م";;"المخزن ";"محل 1";"مفتاح كمثرى ابيض على كارت R.S";"ك";"40.0000";"7.5000";"300.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"6";"27/01/2026 12:00:00 ص";"27/01/2026 06:21:13 م";;"المخزن ";"محل 1";"سينسور تاتش 220 فولت (1حركه) (S)";"ك";"5.0000";"90.0000";"450.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"6";"27/01/2026 12:00:00 ص";"27/01/2026 06:21:13 م";;"المخزن ";"محل 1";"سينسور تاتش 220 فولت (1حركه) (S)";"ك";"3.0000";"90.0000";"270.0000000000000"
