جرد بضاعة 

"التحديد";"م";"المخزن";"الكود التلقائى";"كود الصنف";"الصنف";"الوحدة";"العبوة 2";"رصيد الوحدة الاولى";"رصيد الوحدة الثانية";"سعر التكلفة";"الاجمالى";"قائمة اسعار 1";"الاجمالى";"قائمة اسعار 2";"الاجمالى";"قائمة اسعار 3";"الاجمالى";"تاريخ تعديل سعر البيع"
"colchkbox";"moslsl";"fstor";"iddet";"fcodeunit";"fname";"funit";"fbkgun2";"fquntityun1";"fquntityun2";"fpr_costun1";"ftotcost";"fpr_r1";"ftotpr_r1";"fpr_r2";"ftotpr_r2";"fpr_r3";"ftotpr_r3";"flastdatesadr"
"True";"";"محل 1";"210480";;"(واير ليس) شاحن هاتف 12 فولت";"ك";"0.0000";"21";"0";"200.0000";"4200";"215.0000";"4515";"200.0000";"4200";"190.0000";"3990";"24/12/2025 11:48:56 ص"
"True";"";"محل 2";"210506";;"اب داون (فرعوني ) ابيض * دهبي بلاستيك (H)";"ك";"0.0000";"4";"0";"93.0000";"372";"115.0000";"460";"105.0000";"420";"100.0000";"400";"24/12/2025 02:56:28 م"
"True";"";"محل 1";"210506";;"اب داون (فرعوني ) ابيض * دهبي بلاستيك (H)";"ك";"0.0000";"5";"0";"93.0000";"465";"115.0000";"575";"105.0000";"525";"100.0000";"500";"24/12/2025 02:56:28 م"
"True";"";"المخزن ";"210506";;"اب داون (فرعوني ) ابيض * دهبي بلاستيك (H)";"ك";"0.0000";"72";"0";"93.0000";"6696";"115.0000";"8280";"105.0000";"7560";"100.0000";"7200";"24/12/2025 02:56:28 م"
"True";"";"محل 1";"210503";;"اب داون (فرعوني ) اسود*دهبي بلاستيك (H)";"ك";"0.0000";"1";"0";"93.0000";"93";"120.0000";"120";"105.0000";"105";"100.0000";"100";"24/12/2025 02:51:59 م"
"True";"";"محل 1";"220697";;"اب داون 106/1 ابيض هوم لايت";"ك";"0.0000";"4";"0";"110.0000";"440";"160.0000";"640";"145.0000";"580";"130.0000";"520";"25/01/2026 01:30:07 م"
"True";"";"المخزن ";"220697";;"اب داون 106/1 ابيض هوم لايت";"ك";"0.0000";"6";"0";"110.0000";"660";"160.0000";"960";"145.0000";"870";"130.0000";"780";"25/01/2026 01:30:07 م"
"True";"";"محل 1";"220696";;"اب داون 106/1 اسود هوم لايت";"ك";"0.0000";"4";"0";"110.0000";"440";"150.0000";"600";"140.0000";"560";"130.0000";"520";"25/01/2026 01:27:39 م"
"True";"";"محل 1";"220698";;"اب داون 106/2 ابيض هوم لايت";"ك";"0.0000";"3";"0";"155.0000";"465";"205.0000";"615";"195.0000";"585";"180.0000";"540";"25/01/2026 01:31:17 م"
"True";"";"المخزن ";"220698";;"اب داون 106/2 ابيض هوم لايت";"ك";"0.0000";"5";"0";"155.0000";"775";"205.0000";"1025";"195.0000";"975";"180.0000";"900";"25/01/2026 01:31:17 م"
"True";"";"محل 2";"210545";;"اب داون 106/2 اسود هوم لايت";"ك";"0.0000";"14";"0";"155.0000";"2170";"195.0000";"2730";"185.0000";"2590";"180.0000";"2520";"26/02/2026 01:07:38 م"
"True";"";"محل 1";"210545";;"اب داون 106/2 اسود هوم لايت";"ك";"0.0000";"4";"0";"155.0000";"620";"195.0000";"780";"185.0000";"740";"180.0000";"720";"26/02/2026 01:07:38 م"
"True";"";"المخزن ";"210545";;"اب داون 106/2 اسود هوم لايت";"ك";"0.0000";"4";"0";"155.0000";"620";"195.0000";"780";"185.0000";"740";"180.0000";"720";"26/02/2026 01:07:38 م"
"True";"";"المخزن ";"220695";;"اب داون 107/1 اسود بلاستيك (لايت داي)";"ك";"0.0000";"10";"0";"75.0000";"750";"110.0000";"1100";"100.0000";"1000";"90.0000";"900";"25/01/2026 01:24:52 م"
"True";"";"محل 1";"220695";;"اب داون 107/1 اسود بلاستيك (لايت داي)";"ك";"0.0000";"1";"0";"75.0000";"75";"110.0000";"110";"100.0000";"100";"90.0000";"90";"25/01/2026 01:24:52 م"
"True";"";"محل 1";"210544";;"اب داون 107/2 اسود (بلاستيك ) لايت داي";"ك";"0.0000";"7";"0";"105.0000";"735";"125.0000";"875";"120.0000";"840";"115.0000";"805";"28/12/2025 12:50:23 م"
"True";"";"محل 2";"210544";;"اب داون 107/2 اسود (بلاستيك ) لايت داي";"ك";"0.0000";"2";"0";"105.0000";"210";"125.0000";"250";"120.0000";"240";"115.0000";"230";"28/12/2025 12:50:23 م"
"True";"";"المخزن ";"210544";;"اب داون 107/2 اسود (بلاستيك ) لايت داي";"ك";"0.0000";"26";"0";"105.0000";"2730";"125.0000";"3250";"120.0000";"3120";"115.0000";"2990";"28/12/2025 12:50:23 م"
"True";"";"المخزن ";"221413";;"اب داون 108 لايت داي";"ك";"0.0000";"10";"0";"130.0000";"1300";"160.0000";"1600";"150.0000";"1500";"145.0000";"1450";"27/04/2026 10:46:55 م"
"True";"";"المخزن ";"220708";;"اب داون 1106/6 لايت داي";"ك";"0.0000";"18";"0";"150.0000";"2700";"175.0000";"3150";"165.0000";"2970";"160.0000";"2880";"06/04/2026 07:52:52 م"
"True";"";"محل 1";"220708";;"اب داون 1106/6 لايت داي";"ك";"0.0000";"10";"0";"150.0000";"1500";"175.0000";"1750";"165.0000";"1650";"160.0000";"1600";"06/04/2026 07:52:52 م"
"True";"";"المخزن ";"220711";;"اب داون 1500 لايت داي";"ك";"0.0000";"13";"0";"165.0000";"2145";"185.0000";"2405";"180.0000";"2340";"175.0000";"2275";"27/04/2026 10:46:00 م"
"True";"";"محل 2";"210526";;"اب داون 2 وات اسود بلاستيك ledex";"ك";"0.0000";"10";"0";"31.5000";"315";"40.0000";"400";"37.5000";"375";"35.0000";"350";"04/04/2026 11:49:10 ص"
"True";"";"محل 1";"210475";"kle-22";"اب داون 2 وات اسود معدن المدهش";"ك";"0.0000";"2";"0";"58.0000";"116";"80.0000";"160";"75.0000";"150";"70.0000";"140";"23/12/2025 11:24:05 م"
"True";"";"المخزن ";"210475";"kle-22";"اب داون 2 وات اسود معدن المدهش";"ك";"0.0000";"128";"0";"58.0000";"7424";"80.0000";"10240";"75.0000";"9600";"70.0000";"8960";"23/12/2025 11:24:05 م"
"True";"";"محل 1";"221412";;"اب داون 201/2 اسود*دهبي بلاستيك";"ك";"0.0000";"10";"0";"65.0000";"650";"80.0000";"800";"75.0000";"750";"75.0000";"750";"27/04/2026 10:41:06 م"
"True";"";"المخزن ";"221412";;"اب داون 201/2 اسود*دهبي بلاستيك";"ك";"0.0000";"10";"0";"65.0000";"650";"80.0000";"800";"75.0000";"750";"75.0000";"750";"27/04/2026 10:41:06 م"
"True";"";"محل 2";"210471";;"اب داون 201/4 ( اسود*دهبي ) هوم لايت";"ك";"0.0000";"2";"0";"190.0000";"380";"260.0000";"520";"250.0000";"500";"235.0000";"470";"23/12/2025 11:13:22 م"
"True";"";"محل 1";"220716";;"اب داون 201/4 ابيض*دهبي بلاستيك R.S";"ك";"0.0000";"13";"0";"85.0000";"1105";"120.0000";"1560";"110.0000";"1430";"100.0000";"1300";"25/01/2026 03:53:46 م"
"True";"";"المخزن ";"220716";;"اب داون 201/4 ابيض*دهبي بلاستيك R.S";"ك";"0.0000";"7";"0";"85.0000";"595";"120.0000";"840";"110.0000";"770";"100.0000";"700";"25/01/2026 03:53:46 م"
"True";"";"محل 1";"220715";;"اب داون 201/4 اسود*دهبي بلاستيك R.S";"ك";"0.0000";"9";"0";"100.0000";"900";"120.0000";"1080";"110.0000";"990";"105.0000";"945";"25/01/2026 03:53:21 م"
"True";"";"محل 1";"220709";;"اب داون 222/4 هوم لايت";"ك";"0.0000";"2";"0";"100.0000";"200";"130.0000";"260";"120.0000";"240";"115.0000";"230";"25/01/2026 02:05:43 م"
"True";"";"محل 2";"210507";;"اب داون 2235/15 ابيض * دهبي (فرعوني) بلاستيك (RS)";"ك";"0.0000";"1";"0";"95.0000";"95";"120.0000";"120";"110.0000";"110";"105.0000";"105";"24/12/2025 02:58:43 م"
"True";"";"محل 1";"220705";;"اب داون 2235/15 ابيض *دهبي (فرعوني ) هوم لايت";"ك";"0.0000";"5";"0";"225.0000";"1125";"260.0000";"1300";"250.0000";"1250";"240.0000";"1200";"06/04/2026 07:50:16 م"
"True";"";"المخزن ";"220705";;"اب داون 2235/15 ابيض *دهبي (فرعوني ) هوم لايت";"ك";"0.0000";"14";"0";"225.0000";"3150";"260.0000";"3640";"250.0000";"3500";"240.0000";"3360";"06/04/2026 07:50:16 م"
"True";"";"محل 2";"210508";;"اب داون 2235/15 ابيض *دهبي (فرعوني) بلاستيك لايت داي";"ك";"0.0000";"1";"0";"95.0000";"95";"120.0000";"120";"110.0000";"110";"105.0000";"105";"24/12/2025 02:59:38 م"
"True";"";"المخزن ";"210510";;"اب داون 2235/15 اسود* دهبي  (فرعوني) هوم لايت";"ك";"0.0000";"5";"0";"225.0000";"1125";"260.0000";"1300";"250.0000";"1250";"240.0000";"1200";"06/04/2026 07:50:37 م"
"True";"";"محل 1";"210510";;"اب داون 2235/15 اسود* دهبي  (فرعوني) هوم لايت";"ك";"0.0000";"10";"0";"225.0000";"2250";"260.0000";"2600";"250.0000";"2500";"240.0000";"2400";"06/04/2026 07:50:37 م"
"True";"";"محل 1";"210509";;"اب داون 2235/15 اسود*اسود (فرعوني ) بلاستيك (RS)";"ك";"0.0000";"5";"0";"100.0000";"500";"115.0000";"575";"110.0000";"550";"105.0000";"525";"12/02/2026 02:11:35 م"
"True";"";"المخزن ";"210509";;"اب داون 2235/15 اسود*اسود (فرعوني ) بلاستيك (RS)";"ك";"0.0000";"58";"0";"100.0000";"5800";"115.0000";"6670";"110.0000";"6380";"105.0000";"6090";"12/02/2026 02:11:35 م"
