اذون اضافة الزيادات اجمالية 

"التحديد";"م";"المدخل";"تاريخ الادخال";"كود الاذن";"التاريخ";"الكمية";"الاسم";"ملاحظات";"المطلوب";"الاجمالى محلى";"رقم الايصال";"المستلم";"طبع"
"colchkbox";"moslsl";"fuser";"dateentry";"idno_s";"fshortdate";"fdatehij";"fperson";"fnote";"gross";"fgrosscurrancy";"idno_recpt";"fmostalem";"fprinted"
"True";"";"مدير الشركه مصطفي";"18/01/2026 05:59:54 م";"1";"18/01/2026 05:59:54 م";"2.0000";"زياده";"";"51.000000";"51.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"12/02/2026 03:15:07 م";"2";"12/02/2026 03:15:07 م";"20.0000";"شركة R.S  محمد البغدادي";"";"1170.000000";"1170.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"16/02/2026 02:21:16 م";"3";"16/02/2026 02:21:16 م";"50.0000";"شركة الياسمين ";"";"2300.000000";"2300.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"23/02/2026 11:22:13 م";"4";"23/02/2026 11:22:05 م";"5.0000";"الجرد";"";"597.500000";"597.500000";"";"";"0"
"True";"";"ابراهيم الضويني ";"26/02/2026 10:18:34 م";"5";"26/02/2026 10:18:34 م";"1.0000";"نقدي";"";"78.120000";"78.120000";"";"";"0"
"True";"";"ابراهيم الضويني ";"27/02/2026 01:56:12 ص";"6";"27/02/2026 01:56:12 ص";"1.0000";"نقدي";"";"200.000000";"200.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"27/02/2026 02:04:35 ص";"8";"27/02/2026 02:04:35 ص";"50.0000";"شركة هوم لايت";"";"3250.000000";"3250.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"11/03/2026 10:58:51 م";"9";"11/03/2026 10:58:48 م";"1.0000";"نقدى";"";"32.500000";"32.500000";"";"";"0"
"True";"";"ابراهيم الضويني ";"12/03/2026 12:20:27 ص";"10";"12/03/2026 12:20:27 ص";"10.0000";"نقدى";"";"400.000000";"400.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"14/03/2026 03:15:00 م";"11";"14/03/2026 03:15:00 م";"7.0000";"نقدى";"";"630.000000";"630.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"18/03/2026 04:56:13 م";"12";"18/03/2026 04:56:06 م";"3.0000";"نقدى";"";"227.000000";"227.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"01/04/2026 05:38:57 م";"14";"01/04/2026 05:38:57 م";"1.0000";"الجرد";"";"63.500000";"63.500000";"";"";"0"
"True";"";"ابراهيم الضويني ";"02/04/2026 02:08:27 م";"15";"02/04/2026 02:08:27 م";"185.0000";"الجرد";"";"6708.250000";"6708.250000";"";"";"0"
"True";"";"ابراهيم الضويني ";"04/04/2026 11:26:00 ص";"16";"04/04/2026 11:26:00 ص";"10.0000";"شركة انرجي الحداد";"";"2248.270000";"2248.270000";"";"";"0"
"True";"";"ابراهيم الضويني ";"04/04/2026 04:28:30 م";"17";"04/04/2026 04:28:30 م";"164.0000";"الجرد";"";"2252.500000";"2252.500000";"";"";"0"
"True";"";"ابراهيم الضويني ";"05/04/2026 02:54:52 م";"18";"05/04/2026 02:54:52 م";"12.0000";"الجرد";"";"3204.000000";"3204.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"07/04/2026 10:06:58 ص";"19";"07/04/2026 10:06:58 ص";"2.0000";"الجرد";"";"18.000000";"18.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"07/04/2026 10:45:35 ص";"20";"07/04/2026 10:45:35 ص";"351.0000";"الجرد";"";"1113.000000";"1113.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"09/04/2026 10:47:24 ص";"21";"09/04/2026 10:47:24 ص";"44.0000";"الجرد";"";"1426.000000";"1426.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"09/04/2026 11:04:15 ص";"22";"09/04/2026 11:04:15 ص";"274.0000";"الجرد";"";"10712.150000";"10712.150000";"";"";"0"
"True";"";"ابراهيم الضويني ";"10/04/2026 01:33:33 م";"23";"10/04/2026 01:33:33 م";"1521.0000";"الجرد";"";"99686.780000";"99686.780000";"";"";"0"
"True";"";"ابراهيم الضويني ";"11/04/2026 03:55:37 م";"24";"11/04/2026 03:55:36 م";"49.0000";"الجرد";"";"5899.650000";"5899.650000";"";"";"2"
"True";"";"ابراهيم الضويني ";"12/04/2026 05:30:51 م";"25";"12/04/2026 05:30:51 م";"1.0000";"نقدى";"";"414.000000";"414.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"12/04/2026 10:35:58 م";"26";"12/04/2026 10:35:58 م";"5.0000";"الجرد";"";"710.000000";"710.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"13/04/2026 06:45:53 م";"27";"13/04/2026 06:45:53 م";"15.0000";"الجرد";"";"48.750000";"48.750000";"";"";"0"
"True";"";"ابراهيم الضويني ";"13/04/2026 06:03:49 م";"28";"13/04/2026 06:03:49 م";"6.5000";"الجرد";"";"788.515000";"788.515000";"";"";"0"
"True";"";"ابراهيم الضويني ";"14/04/2026 10:55:24 م";"29";"14/04/2026 10:55:24 م";"2.0000";"الجرد";"";"650.000000";"650.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"15/04/2026 01:07:25 م";"30";"15/04/2026 01:07:25 م";"2.0000";"الجرد";"";"85.000000";"85.000000";"";"";"0"
"True";"";"ابراهيم الضويني ";"16/04/2026 03:46:21 م";"31";"16/04/2026 03:46:21 م";"1.0000";"الجرد";"";"200.000000";"200.000000";"";"";"0"
