اذون اضافة الزيادات تفصيلية 

"التحديد";"م";"العملية";"المدخل";"كود الاذن";"التاريخ";"الوقت";"كود الصنف";"المخزن";"الصنف";"الوحدة";"الكمية";"السعر قبل";"التأثير";"الخصم %";"السعر";"الاجمالى"
"colchkbox";"moslsl";"title";"fuser";"idno_s";"fshortdate";"ftime";"fcodeunit";"fstorfrom";"fname";"funit";"fquntity";"fpr_sd";"fefect";"fpdis";"fpr_s";"gtot"
"True";"";" ";"مدير الشركه مصطفي";"1";"18/01/2026 12:00:00 ص";"18/01/2026 05:59:54 م";;"محل 2";"لمبه 200 وات ايفر برايت";"ك";"2.0000";"0.0000";"-";"0.0000";"25.5000";"51.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"2";"12/02/2026 12:00:00 ص";"12/02/2026 03:15:07 م";;"محل 1";"مسطره ليد 12 فولت بالمحول(120/متر) ورم R.S";"ك";"11.0000";"0.0000";"-";"0.0000";"35.0000";"385.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"2";"12/02/2026 12:00:00 ص";"12/02/2026 03:15:07 م";;"محل 1";"اب داون 2235/15 اسود*اسود (فرعوني ) بلاستيك (RS)";"ك";"2.0000";"0.0000";"-";"0.0000";"90.0000";"180.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"2";"12/02/2026 12:00:00 ص";"12/02/2026 03:15:07 م";;"محل 1";"سينسور تاتش 220 فولت (1حركه) (S)";"ك";"2.0000";"0.0000";"-";"0.0000";"90.0000";"180.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"2";"12/02/2026 12:00:00 ص";"12/02/2026 03:15:07 م";;"محل 1";"اب داون 201/4 اسود*دهبي بلاستيك R.S";"ك";"5.0000";"0.0000";"-";"0.0000";"85.0000";"425.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"3";"16/02/2026 12:00:00 ص";"16/02/2026 02:21:16 م";;"محل 1";"محول لاب 12 فولت 2 امبير استيراد";"ك";"50.0000";"0.0000";"-";"0.0000";"46.0000";"2300.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"4";"23/02/2026 12:00:00 ص";"23/02/2026 11:22:05 م";;"محل 1";"(واير ليس) شاحن هاتف 12 فولت";"ك";"1.0000";"0.0000";"-";"0.0000";"175.0000";"175.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"4";"23/02/2026 12:00:00 ص";"23/02/2026 11:22:05 م";;"محل 1";"اب داون 2235/15 اسود* دهبي  (فرعوني) هوم لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"200.0000";"200.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"4";"23/02/2026 12:00:00 ص";"23/02/2026 11:22:05 م";;"محل 1";"اسبوت نصف كروي ورم";"ك";"1.0000";"0.0000";"-";"0.0000";"32.5000";"32.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"4";"23/02/2026 12:00:00 ص";"23/02/2026 11:22:05 م";;"محل 1";"بكرة ليد 240 ابيض ستريب";"ك";"2.0000";"0.0000";"-";"0.0000";"95.0000";"190.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"5";"26/02/2026 12:00:00 ص";"26/02/2026 10:18:34 م";;"محل 2";"لمبه ليد 120 سم 26 وات تكه ضمان 2 عام";"ك";"1.0000";"0.0000";"-";"0.0000";"78.1200";"78.1200000000000"
