عروض الاسعار تفصيلية 

"التحديد";"م";"العملية";"المدخل";"كود العرض";"التاريخ";"الوقت";"كود الصنف";"المخزن";"الصنف";"البيان";"الوحدة";"الكمية";"تم";"المطلوب";"السعر";"الاجمالى"
"colchkbox";"moslsl";"title";"fuser";"idno_s";"fshortdate";"ftime";"fcodeunit";"fstorfrom";"fname";"fdet";"funit";"fquntity";"fbouns";"fqtow";"fpr_s";"gtot"
"True";"";" ";"مدير الشركه مصطفي";"3";"03/01/2026 12:00:00 ص";"03/01/2026 12:50:44 م";;"محل 2";"اسبوت زجاجي 6+6 3لون فولت";"";"ك";"50.0000";"0.0000";"50.0000";"25.0000";"1250.0000000000000"
"True";"";" ";"مدير الشركه مصطفي";"3";"03/01/2026 12:00:00 ص";"03/01/2026 12:50:44 م";;"محل 2";"سلك 2 ملي شعر السويدي (H)";"";"متر ";"50.0000";"0.0000";"50.0000";"18.0000";"900.0000000000000"
"True";"";" ";"مدير الشركه مصطفي";"3";"03/01/2026 12:00:00 ص";"03/01/2026 12:50:44 م";;"محل 2";"سلك 1.5 ملي شعر السويدي (H)";"";"لفه ";"1.0000";"0.0000";"1.0000";"1100.0000";"1100.0000000000000"
"True";"";" ";"مدير الشركه مصطفي";"3";"03/01/2026 12:00:00 ص";"03/01/2026 12:50:44 م";;"محل 2";"شريط لحام 20 يارده (ك) انرجي";"";"ك";"2.0000";"0.0000";"2.0000";"25.0000";"50.0000000000000"
"True";"";" ";"مدير الشركه مصطفي";"3";"03/01/2026 12:00:00 ص";"03/01/2026 12:50:44 م";;"محل 2";"سلك سماعه ربع ملي (H)";"";"متر";"15.0000";"0.0000";"15.0000";"3.0000";"45.0000000000000"
"True";"";" ";"مدير الشركه مصطفي";"3";"03/01/2026 12:00:00 ص";"03/01/2026 12:50:44 م";;"محل 2";"خرطوم  سوسته 13مم وسط ابو العز";"";"لفه";"3.0000";"0.0000";"3.0000";"35.0000";"105.0000000000000"
"True";"";" ";"محمد اسام";"4";"04/01/2026 12:00:00 ص";"04/01/2026 02:31:55 م";;"محل 2";"علبه ماجيك مفرد ابو العز";"";"قطعه";"10.0000";"0.0000";"10.0000";"4.5000";"45.0000000000000"
"True";"";" ";"محمد اسام";"4";"04/01/2026 12:00:00 ص";"04/01/2026 02:31:55 م";;"محل 2";"خرطوم  سوسته 13مم كبير ابو العز";"";"لفه";"1.0000";"0.0000";"1.0000";"50.0000";"50.0000000000000"
"True";"";" ";"محمد اسام";"4";"04/01/2026 12:00:00 ص";"04/01/2026 02:31:55 م";;"محل 2";"خرطوم  سوسته 16مم كبير ابو العز";"";"لفه";"1.0000";"0.0000";"1.0000";"52.0000";"52.0000000000000"
"True";"";" ";"محمد اسام";"4";"04/01/2026 12:00:00 ص";"04/01/2026 02:31:55 م";;"محل 2";"خرطوم  سوسته 11مم وسط ابو العز";"";"لفه";"1.0000";"0.0000";"1.0000";"32.0000";"32.0000000000000"
