تقارير ايرادات

"التحديد";"م";"كود القيد";"المدخل";"تاريخ الادخال";"التاريخ";"المجموعة";"النوع";"المستلم";"الخزينة";"ملاحظات";"ايرادات"
"colchkbox";"moslsl";"idaccked";"fuser";"dateentry";"fdate";"fcostgroup";"fcostitems";"fmostalem";"fcashstor";"fnote";"famountearn"
"True";"";"9";"مدير الشركه مصطفي";"20/12/2025 09:19:34 م";"20/12/2025 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 1  الى خزينة 2  ";"0.000000"
"True";"";"138";"مدير الشركه مصطفي";"29/12/2025 01:03:50 م";"29/12/2025 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى الرئيسية   ";"0.000000"
"True";"";"157";"مدير الشركه مصطفي";"01/01/2026 10:38:31 م";"29/12/2025 12:00:00 ص";"ايرادات متنوعة";"زياده في الخزينه";"محمد اسام";"خزينة 2";"غير معلومين";"5.000000"
"True";"";"166";"مدير الشركه مصطفي";"30/12/2025 07:05:05 م";"30/12/2025 12:00:00 ص";"ايرادات متنوعة";"زياده في الخزينه";"محمد اسام";"خزينة 2";"دكت غير مسجل";"180.000000"
"True";"";"383";"مدير الشركه مصطفي";"07/01/2026 01:17:27 م";"07/01/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى الرئيسية  السمكه السمكه";"0.000000"
"True";"";"455";"مدير الشركه مصطفي";"08/01/2026 11:11:45 م";"08/01/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى الرئيسية   ";"0.000000"
"True";"";"641";"مدير الشركه مصطفي";"15/01/2026 11:18:33 م";"15/01/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى الرئيسية   ";"0.000000"
"True";"";"721";"مدير الشركه مصطفي";"19/01/2026 10:52:06 م";"19/01/2026 12:00:00 ص";"ايرادات متنوعة";"حجاره+قصدير بالمتر";"محمد اسام";"خزينة 2";"";"183.000000"
"True";"";"838";"ابراهيم الضويني ";"22/01/2026 06:03:00 م";"22/01/2026 12:00:00 ص";"ايرادات متنوعة";"مصنعيه";"محمد اسام";"خزينة 2";"";"50.000000"
"True";"";"863";"ابراهيم الضويني ";"23/01/2026 01:14:05 ص";"23/01/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى الرئيسية   ";"0.000000"
"True";"";"1299";"مدير الشركه مصطفي";"31/01/2026 02:10:04 م";"30/01/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى خزينة 1   ";"0.000000"
"True";"";"1300";"ابراهيم الضويني ";"30/01/2026 12:47:40 ص";"30/01/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك تحويل بين البنوك من كاش دمياط فودافون 2 الى كاش دمياط فودافون 1  ";"0.000000"
"True";"";"1420";"مدير الشركه مصطفي";"31/01/2026 11:40:26 م";"31/01/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك تحويل بين البنوك من كاش دمياط فودافون 2 الى كاش دمياط فودافون 1  ";"0.000000"
"True";"";"1400";"مدير الشركه مصطفي";"31/01/2026 11:10:09 م";"31/01/2026 12:00:00 ص";"ايرادات اخرى";"دين سابق";"ابراهيم";"خزينة 1 ";"جمال قمر";"400.000000"
"True";"";"1406";"مدير الشركه مصطفي";"31/01/2026 11:22:54 م";"31/01/2026 12:00:00 ص";"ايرادات اخرى";"بضاعه لم يتم جردها";"ابراهيم";"خزينة 1 ";"";"100.000000"
"True";"";"1454";"ابراهيم الضويني ";"01/02/2026 05:01:40 م";"01/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى خزينة 1   ";"0.000000"
"True";"";"1480";"ابراهيم الضويني ";"02/02/2026 02:08:23 م";"02/02/2026 12:00:00 ص";"ايرادات اخرى";"بضاعه لم يتم جردها";"ابراهيم";"خزينة 1 ";"سلك سماعه";"30.000000"
"True";"";"1484";"ابراهيم الضويني ";"02/02/2026 02:13:26 م";"02/02/2026 12:00:00 ص";"ايرادات اخرى";"بضاعه لم يتم جردها";"ابراهيم";"خزينة 1 ";"";"50.000000"
"True";"";"1507";"ابراهيم الضويني ";"02/02/2026 02:48:30 م";"02/02/2026 12:00:00 ص";"ايرادات اخرى";"بضاعه لم يتم جردها";"ابراهيم";"خزينة 1 ";"";"70.000000"
"True";"";"1615";"ابراهيم الضويني ";"03/02/2026 03:46:37 م";"03/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك تحويل بين البنوك من باى  دمياط انستا 2 الى باى  دمياط انستا 1  ";"0.000000"
"True";"";"1616";"ابراهيم الضويني ";"03/02/2026 03:47:30 م";"03/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك تحويل بين البنوك من كاش دمياط فودافون 2 الى كاش دمياط فودافون 1  ";"0.000000"
"True";"";"1690";"ابراهيم الضويني ";"04/02/2026 10:19:11 م";"04/02/2026 12:00:00 ص";"ايرادات اخرى";"بضاعه لم يتم جردها";"الخزينه";"خزينة 1 ";"";"640.000000"
"True";"";"1701";"ابراهيم الضويني ";"04/02/2026 10:55:29 م";"04/02/2026 12:00:00 ص";"ايرادات اخرى";"بضاعه لم يتم جردها";"الخزينه";"خزينة 1 ";"";"150.000000"
"True";"";"1720";"ابراهيم الضويني ";"05/02/2026 12:13:29 ص";"05/02/2026 12:00:00 ص";"ايرادات اخرى";"بضاعه لم يتم جردها";"";;"ايرادات البنك ";"700.000000"
"True";"";"1723";"ابراهيم الضويني ";"05/02/2026 12:17:58 ص";"05/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك تحويل بين البنوك من كاش دمياط فودافون 2 الى كاش دمياط فودافون 1  ";"0.000000"
"True";"";"1799";"ابراهيم الضويني ";"05/02/2026 11:54:09 م";"05/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى خزينة 1   ";"0.000000"
"True";"";"1836";"ابراهيم الضويني ";"06/02/2026 12:50:52 ص";"06/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك قيد متعدد تحويل بين البنوك ";"0.000000"
"True";"";"1836";"ابراهيم الضويني ";"06/02/2026 12:51:34 ص";"06/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك قيد متعدد تحويل بين البنوك ";"0.000000"
"True";"";"2202";"ابراهيم الضويني ";"12/02/2026 04:18:29 م";"12/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك تحويل بين البنوك من كاش دمياط فودافون 2 الى كاش دمياط فودافون 1  ";"0.000000"
"True";"";"2302";"ابراهيم الضويني ";"13/02/2026 12:11:14 ص";"13/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى خزينة 1   ";"0.000000"
"True";"";"2303";"ابراهيم الضويني ";"13/02/2026 12:18:32 ص";"13/02/2026 12:00:00 ص";"ايرادات اخرى";"بضاعه لم يتم جردها";".";"خزينة 1 ";"";"978.500000"
"True";"";"2449";"ابراهيم الضويني ";"15/02/2026 01:59:00 م";"15/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك تحويل بين البنوك من باى  دمياط انستا 2 الى باى  دمياط انستا 1  ";"0.000000"
"True";"";"2960";"مدير الشركه مصطفي";"20/02/2026 12:39:48 ص";"20/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك تحويل بين البنوك من باى  دمياط انستا 2 الى باى  دمياط انستا 1  ";"0.000000"
"True";"";"2968";"مدير الشركه مصطفي";"20/02/2026 01:07:22 ص";"20/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى خزينة 1   ";"0.000000"
"True";"";"3077";"ابراهيم الضويني ";"22/02/2026 01:04:06 ص";"22/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 1  الى الرئيسية   ";"0.000000"
"True";"";"3467";"ابراهيم الضويني ";"26/02/2026 10:22:29 م";"26/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى الرئيسية   ";"0.000000"
"True";"";"3509";"مدير الشركه مصطفي";"27/02/2026 01:18:12 ص";"27/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن الخزينة";"فرق تحويل بين الخزائن الخزينة";"";;"تحويل بين الخزائن تحويل بين الخزائن من خزينة 2 الى الرئيسية   ";"0.000000"
"True";"";"3506";"مدير الشركه مصطفي";"27/02/2026 01:17:04 ص";"27/02/2026 12:00:00 ص";"فرق تحويل بين الخزائن البنوك";"فرق تحويل بين الخزائن البنوك";"";;"تحويل بين البنوك قيد متعدد تحويل بين البنوك ";"0.000000"
