تقارير مصروفات شهرية

"التحديد";"م";"البيان";"يناير";"فبراير";"مارس";"ابريل";"مايو";"يونيه";"يوليو";"اغسطس";"سبتمبر";"اكتوبر";"نوفمبر";"ديسمبر";"الاجمالى"
"colchkbox";"moslsl";"fdet";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec";"gtot"
"True";"";"اجور";"18120.000000";"30900.000000";"18300.000000";"39400.000000";"23000.000000";;;;;;;;"129720"
"True";"";"اخرى";"414.000000";"2940.000000";"1220.000000";"1073.000000";"2672.000000";;;;;;;;"8319"
"True";"";"اضافية";"62.000000";"145.000000";;;"200.000000";;;;;;;;"407"
"True";"";"ايجار";"4600.000000";"4600.000000";;;;;;;;;;"4200.000000";"13400"
"True";"";"ايجارات";;"2300.000000";"6900.000000";"6900.000000";;;;;;;;;"16100"
"True";"";"بنزين";;;;"150.000000";"100.000000";;;;;;;;"250"
"True";"";"ترميم واصلاحات";"117.000000";;;;;;;;;;;;"117"
"True";"";"توصيل";"40.000000";"40.000000";;"100.000000";;;;;;;;;"180"
"True";"";"دهانات";"20.000000";;;;;;;;;;;;"20"
"True";"";"رسوم وضرائب";"606.000000";"750.000000";;;;;;;;;;;"1356"
"True";"";"سحور";;;"325.000000";;;;;;;;;;"325"
"True";"";"سكر";;"30.000000";"30.000000";;;;;;;;;;"60"
"True";"";"شحن نت المحل";;"400.000000";"700.000000";"1350.000000";;;;;;;;;"2450"
"True";"";"شنط";;;"210.000000";"1030.000000";"1250.000000";;;;;;;;"2490"
"True";"";"صدقه";"544.000000";"732.500000";"522.000000";"946.750000";"390.000000";;;;;;;"35.000000";"3170"
"True";"";"ضيافه";;;;"300.000000";;;;;;;;;"300"
"True";"";"عمولات";"850.000000";;;;;;;;;;;;"850"
"True";"";"عمولة تحويل";;"340.000000";"350.000000";"285.000000";"110.000000";;;;;;;;"1085"
"True";"";"عموله تحويل";;"60.000000";;"225.000000";"15.000000";;;;;;;;"300"
"True";"";"غدا";"50.000000";"50.000000";;"595.000000";"250.000000";;;;;;;"100.000000";"1045"
"True";"";"غدا يوسف";"100.000000";"450.000000";;"250.000000";"700.000000";;;;;;;;"1500"
"True";"";"كوبايات";;"20.000000";;;"30.000000";;;;;;;;"50"
"True";"";"م. نقل للخارج";;"800.000000";;;;;;;;;;;"800"
"True";"";"متنوعة";"110.000000";"145.000000";"170.000000";"164.000000";"480.000000";;;;;;;;"1069"
"True";"";"مرتب";;"50.000000";;;;;;;;;;"2750.000000";"2800"
"True";"";"مصاريف ادوات كتابية";"25.000000";;;"140.000000";"122.000000";;;;;;;;"287"
"True";"";"مصاريف التأسيس";;;"65.000000";;;;;;;;;;"65"
"True";"";"مصاريف تليفون وتلكس";"150.000000";;;;;;;;;;;;"150"
"True";"";"مصاريف نور";"400.000000";"1200.000000";"800.000000";"1000.000000";"900.000000";;;;;;;"100.000000";"4400"
"True";"";"مصروفات نثرية";;;;"25.000000";;;;;;;;;"25"
"True";"";"مياه";;"30.000000";"4.000000";"50.000000";"30.000000";;;;;;;;"114"
"True";"";"نقل";"40.000000";"1410.000000";;"1210.000000";"1740.000000";;;;;;;;"4400"
"True";;"الاجمالى";"26248";"47392.5";"29596";"55193.75";"31989";;;;;;;"7185";"197604"
