كشف حساب البنك انستا 1

"م";"كود القيد";"تاريخ الادخال";"التاريخ";"المستخدم";"البيان";"مدين";"دائن";"الرصيد"
"moslsl";"idaccked";"dateentry";"fdate";"fdatehij";"txtdbf";"fdbamount";"fcramount";"frasedamount"
"1";"1184";"28/01/2026 10:38:07 م";"16/12/2025 12:00:00 ص";"ابراهيم الضويني ";"رصيد اول المدة";"10400.000000";;"10400.000000"
"2";"1303";"31/01/2026 02:09:38 م";"16/12/2025 12:00:00 ص";"مدير الشركه مصطفي";"رصيد اول المدة";"52000.000000";;"62400.000000"
"3";"1185";"28/01/2026 10:38:40 م";"28/01/2026 10:38:40 م";"ابراهيم الضويني ";"تحويل الى شركة سيلفر لايت (محمد شنشن) المستلم ";;"10400.000000";"52000.000000"
"4";"1360";"31/01/2026 08:57:13 م";"31/01/2026 08:57:13 م";"مدير الشركه مصطفي";"تحويل الى كريم ابو الهدى المستلم كريم ابو الهدى";;"5000.000000";"47000.000000"
"5";"1439";"01/02/2026 12:25:46 ص";"01/02/2026 12:25:45 ص";"مدير الشركه مصطفي";"تحويل الى شركة الماسه لايت المستلم ";;"5000.000000";"42000.000000"
"6";"1439";"01/02/2026 12:31:01 ص";"01/02/2026 12:29:21 ص";"مدير الشركه مصطفي";"تحويل الى شركة الياسمين  المستلم ";;"28500.000000";"13500.000000"
"7";"1440";"01/02/2026 12:29:48 ص";"01/02/2026 12:29:48 ص";"مدير الشركه مصطفي";"تحويل من مصطفي الضويني المستلم لاب";"15000.000000";;"28500.000000"
"8";"1442";"01/02/2026 12:44:00 ص";"01/02/2026 12:44:00 ص";"مدير الشركه مصطفي";"تحويل الى شركة المصري لايت المستلم ";;"10000.000000";"18500.000000"
"9";"1442";"01/02/2026 12:48:07 ص";"01/02/2026 12:48:07 ص";"مدير الشركه مصطفي";"تحويل الى صابر ابو الغيط المستلم ";;"2000.000000";"16500.000000"
"10";"1442";"01/02/2026 12:51:55 ص";"01/02/2026 12:51:55 ص";"مدير الشركه مصطفي";"تحويل الى شركة النخبة المستلم ";;"15000.000000";"1500.000000"
"11";"1473";"01/02/2026 11:02:45 م";"01/02/2026 11:02:45 م";"ابراهيم الضويني ";"تحويل من ميدو الدبسي المستلم ";"3000.000000";;"4500.000000"
"12";"1615";"03/02/2026 03:46:37 م";"03/02/2026 03:46:37 م";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"300.000000";;"4800.000000"
"13";"1617";"03/02/2026 03:48:37 م";"03/02/2026 03:48:37 م";"ابراهيم الضويني ";"تحويل الى شركة السمكه المستلم ";;"4800.000000";"0.000000"
"14";"1800";"05/02/2026 11:58:04 م";"05/02/2026 11:58:04 م";"ابراهيم الضويني ";"تحويل من احمد الفرخ المستلم .";"4500.000000";;"4500.000000"
"15";"1803";"05/02/2026 11:59:29 م";"05/02/2026 11:59:29 م";"ابراهيم الضويني ";"تحويل من الحاج احمد فرحات المستلم ";"700.000000";;"5200.000000"
"16";"1836";"06/02/2026 12:50:52 ص";"06/02/2026 12:50:52 ص";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"945.000000";;"6145.000000"
"17";"1840";"06/02/2026 01:30:29 ص";"06/02/2026 01:30:29 ص";"ابراهيم الضويني ";"تحويل الى شركة انرجي الحداد المستلم ";;"6000.000000";"145.000000"
"18";"1903";"08/02/2026 11:11:07 ص";"08/02/2026 11:11:07 ص";"ابراهيم الضويني ";"تحويل من نقدى المستلم ";"595.000000";;"740.000000"
"19";"2050";"10/02/2026 03:36:26 م";"10/02/2026 03:36:26 م";"ابراهيم الضويني ";"تحويل من نقدي المستلم ";"300.000000";;"1040.000000"
"20";"2259";"12/02/2026 10:24:22 م";"12/02/2026 10:24:22 م";"يوسف محمود";"تحويل من م / يوسف خشبه المستلم 01014533898";"3000.000000";;"4040.000000"
"21";"2447";"15/02/2026 01:56:11 م";"15/02/2026 01:56:11 م";"ابراهيم الضويني ";"تحويل الى احمد مصباح (المنصورة) المستلم انستا";;"4400.000000";"-360.000000"
"22";"2449";"15/02/2026 01:59:00 م";"15/02/2026 01:59:00 م";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"410.000000";;"50.000000"
"23";"2633";"17/02/2026 02:28:27 م";"17/02/2026 02:28:27 م";"ابراهيم الضويني ";"تحويل من حسام عبدالواحد المستلم ";"2100.000000";;"2150.000000"
"24";"2633";"17/02/2026 02:28:37 م";"17/02/2026 02:28:37 م";"ابراهيم الضويني ";"تحويل من ميدو الدبسي المستلم ";"3000.000000";;"5150.000000"
"25";"2851";"19/02/2026 12:39:40 ص";"19/02/2026 12:39:40 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 1905 نقدى";"1115.000000";;"6265.000000"
"26";"2901";"19/02/2026 06:23:31 م";"19/02/2026 06:23:31 م";"يوسف محمود";"تحويل الى شركة الأقصى المستلم ";;"5000.000000";"1265.000000"
"27";"2922";"19/02/2026 09:29:22 م";"19/02/2026 09:29:22 م";"مدير الشركه مصطفي";"تحويل من الحاج احمد فرحات المستلم ";"1000.000000";;"2265.000000"
"28";"2927";"19/02/2026 09:57:59 م";"19/02/2026 09:57:59 م";"مدير الشركه مصطفي";"تحويل من احمد الفرخ المستلم ";"8000.000000";;"10265.000000"
"29";"2958";"20/02/2026 12:38:14 ص";"20/02/2026 12:38:14 ص";"مدير الشركه مصطفي";"تحويل الى شركة هوم لايت المستلم ";;"10000.000000";"265.000000"
"30";"2960";"20/02/2026 12:39:48 ص";"20/02/2026 12:39:48 ص";"مدير الشركه مصطفي";"تحويل من باى  انستا 2 دمياط ";"205.000000";;"470.000000"
"31";"3141";"23/02/2026 01:15:37 م";"23/02/2026 01:15:37 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2085 نقدى";"1080.000000";;"1550.000000"
"32";"3181";"24/02/2026 01:18:38 ص";"24/02/2026 01:18:38 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2118 نقدى";"125.000000";;"1675.000000"
"33";"3506";"27/02/2026 01:17:15 ص";"27/02/2026 01:17:15 ص";"مدير الشركه مصطفي";"تحويل من باى  انستا 2 دمياط ";"500.000000";;"2175.000000"
"34";"3587";"01/03/2026 01:10:03 ص";"01/03/2026 01:10:03 ص";"مدير الشركه مصطفي";"تحويل الى كاش فودافون 1 دمياط ";;"2175.000000";"0.000000"
"35";"3762";"03/03/2026 11:49:31 م";"03/03/2026 11:49:31 م";"مدير الشركه مصطفي";"تحصيل بالفيزا فاتورة بيع 2486 الحاج احمد شلبي الدبسي زجاج";"10400.000000";;"10400.000000"
"36";"3763";"04/03/2026 12:06:18 ص";"04/03/2026 12:06:18 ص";"مدير الشركه مصطفي";"تحصيل بالفيزا فاتورة بيع 2487 نقدى";"400.000000";;"10800.000000"
"37";"3764";"04/03/2026 12:18:18 ص";"04/03/2026 12:18:18 ص";"مدير الشركه مصطفي";"تحويل الى شركة السمكه المستلم ";;"10000.000000";"800.000000"
"38";"3962";"06/03/2026 01:45:41 ص";"06/03/2026 01:45:41 ص";"مدير الشركه مصطفي";"تحويل من كاش فودافون 1 دمياط دا تحويل احمد فرحات ";"2000.000000";;"2800.000000"
"39";"3965";"06/03/2026 02:08:15 ص";"06/03/2026 02:08:14 ص";"مدير الشركه مصطفي";"تحويل من باى  انستا 2 دمياط ";"2750.000000";;"5550.000000"
