كشف حساب البنك فودافون 1

"م";"كود القيد";"تاريخ الادخال";"التاريخ";"المستخدم";"البيان";"مدين";"دائن";"الرصيد"
"moslsl";"idaccked";"dateentry";"fdate";"fdatehij";"txtdbf";"fdbamount";"fcramount";"frasedamount"
"1";"1303";"30/01/2026 01:01:44 ص";"16/12/2025 12:00:00 ص";"ابراهيم الضويني ";"رصيد اول المدة";"1000.000000";;"1000.000000"
"2";"1065";"27/01/2026 06:25:22 م";"27/01/2026 06:25:22 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 789 نقدى";"335.000000";;"1335.000000"
"3";"1086";"27/01/2026 09:29:16 م";"27/01/2026 09:29:15 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 807 نقدى";"555.000000";;"1890.000000"
"4";"1256";"29/01/2026 08:02:10 م";"29/01/2026 08:02:10 م";"ابراهيم الضويني ";"تحويل من اسلام ليد المستلم ابراهيم";"4500.000000";;"6390.000000"
"5";"1284";"30/01/2026 12:07:28 ص";"30/01/2026 12:07:28 ص";"ابراهيم الضويني ";"تحويل من احمد الفرخ المستلم ابراهيم";"6000.000000";;"12390.000000"
"6";"1291";"30/01/2026 12:29:12 ص";"30/01/2026 12:29:12 ص";"ابراهيم الضويني ";"تحويل الى مصطفي الضويني المستلم مصطفى";;"3000.000000";"9390.000000"
"7";"1300";"30/01/2026 12:47:40 ص";"30/01/2026 12:47:40 ص";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"4833.000000";;"14223.000000"
"8";"1320";"31/01/2026 02:06:53 م";"31/01/2026 02:06:52 م";"مدير الشركه مصطفي";"تحويل من محل فولت (فارس عريف) المستلم ";"19000.000000";;"33223.000000"
"9";"1351";"31/01/2026 05:52:50 م";"31/01/2026 05:52:50 م";"مدير الشركه مصطفي";"تحويل الى شركة سيلفر لايت (محمد شنشن) المستلم محمد شنشن";;"5000.000000";"28223.000000"
"10";"1360";"31/01/2026 08:58:01 م";"31/01/2026 08:57:52 م";"مدير الشركه مصطفي";"تحويل الى شركة الماسه لايت المستلم محمود";;"25000.000000";"3223.000000"
"11";"1361";"31/01/2026 08:59:30 م";"31/01/2026 08:59:30 م";"مدير الشركه مصطفي";"تحويل من مصطفى عياد المستلم ";"1000.000000";;"4223.000000"
"12";"1386";"31/01/2026 10:22:48 م";"31/01/2026 10:22:48 م";"مدير الشركه مصطفي";"تحويل الى مصطفي الضويني المستلم يوسف امام";;"150.000000";"4073.000000"
"13";"1420";"31/01/2026 11:40:26 م";"31/01/2026 11:40:26 م";"مدير الشركه مصطفي";"تحويل من كاش فودافون 2 دمياط ";"1150.000000";;"5223.000000"
"14";"1438";"01/02/2026 12:22:27 ص";"01/02/2026 12:22:27 ص";"مدير الشركه مصطفي";"تحويل الى شركة الماسه لايت المستلم محمود كاش";;"5000.000000";"223.000000"
"15";"1475";"02/02/2026 01:28:22 ص";"02/02/2026 01:28:22 ص";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 1040 نقدى";"3200.000000";;"3423.000000"
"16";"1515";"02/02/2026 03:02:37 م";"02/02/2026 03:02:37 م";"ابراهيم الضويني ";"تحويل من حماده خشبه الماجيكو المستلم ";"3000.000000";;"6423.000000"
"17";"1539";"02/02/2026 05:28:19 م";"02/02/2026 05:28:19 م";"ابراهيم الضويني ";"تحويل من اسلام ليد المستلم ";"2500.000000";;"8923.000000"
"18";"1616";"03/02/2026 03:47:30 م";"03/02/2026 03:47:30 م";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"760.000000";;"9683.000000"
"19";"1643";"03/02/2026 11:37:18 م";"03/02/2026 11:37:18 م";"ابراهيم الضويني ";"تحويل من احمد الفرخ المستلم ابراهيم";"1000.000000";;"10683.000000"
"20";"1718";"05/02/2026 12:09:56 ص";"05/02/2026 12:09:56 ص";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 1196 نقدى";"650.000000";;"11333.000000"
"21";"1720";"05/02/2026 12:13:29 ص";"05/02/2026 12:13:29 ص";"ابراهيم الضويني ";"ايرادات ايرادات اخرى بضاعه لم يتم جردها المستلم ";"700.000000";;"12033.000000"
"22";"1723";"05/02/2026 12:17:58 ص";"05/02/2026 12:17:58 ص";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"1435.000000";;"13468.000000"
"23";"1724";"05/02/2026 12:58:34 ص";"05/02/2026 12:58:34 ص";"ابراهيم الضويني ";"تحويل من الخزينة خزينة 1  المستلم ";"800.000000";;"14268.000000"
"24";"1773";"05/02/2026 05:48:01 م";"05/02/2026 05:48:01 م";"ابراهيم الضويني ";"تحويل من اسلام ليد المستلم ";"5600.000000";;"19868.000000"
"25";"1800";"05/02/2026 11:57:55 م";"05/02/2026 11:57:55 م";"ابراهيم الضويني ";"تحويل من احمد الفرخ المستلم .";"4000.000000";;"23868.000000"
